;level3_main_occ;n;new
1;football;27478;
2;actor;21506;
3;politician;16430;
4;writer;7246;
5;singer;6808;
6;basket;6428;basketball
7;sport;6395;
8;painter;6033;
9;composer;5088;
10;player;4387;
11;film;4321;
12;hockey;3967;
13;priest;3846;
14;poet;3544;
15;athletic;3182;
16;music;3124;
17;militar;2474;
18;skier;2144;
19;officer;1711;
20;swimmer;1693;
21;driver;1635;racedriver
22;wrestler;1595;
23;screenwriter;1576;writer
24;boxer;1477;
25;chess;1456;
26;architect;1452;
27;handball;1445;
28;aristocrat;1393;
29;rower;1310;
30;skater;1256;
31;gymnast;1244;
32;conductor;1231;
33;sculptor;1208;
34;athlete;1142;
35;journalist;1141;
36;author;1111;writer
37;fencer;1107;
38;lawyer;1097;
39;artist;1095;
40;baseball;1000;
41;novelist;857;writer
42;diplomat;843;
43;pianist;822;music
44;photographer;771;
45;guitar;751;music
46;entrepreneur;696;business
47;model;685;
48;ski;654;
49;sprint;650;
50;prince;648;
51;producer;640;
52;racer;590;racedriver
53;polo;584;
54;playwright;552;writer
55;runner;551;
56;judo;526;
57;soldier;524;
58;canoe;518;
59;business;513;
60;noble;494;
61;cardinal;474;
62;king;474;
63;duke;467;
64;comedian;464;
65;queen;436;
66;princess;400;
67;cyclist;364;
68;rapper;356;
69;cinema;344;actor
70;opera;342;singer
71;designer;338;designer
72;golf;321;
73;drummer;312;music
74;kayak;308;
75;weightlifter;296;
76;bobsled;295;
77;judge;276;lawyer
78;martial_art;257;
79;activist;252;
80;rabbi;228;priest
81;count;225;
82;diver;225;
83;snowboard;225;
84;luger;220;
85;bishop;218;priest
86;political;215;politician
87;son;214;
88;presenter;211;
89;rider;210;
90;religious;209;
91;freestyle;206;
92;sovereign;206;
93;criminal;203;
94;choreographer;201;dancer
95;army;198;
96;violin;197;music
97;curler;185;
98;songwriter;184;music
99;bank;182;
100;organist;181;
101;bassist;174;music
102;presbyter;173;
103;theatre;172;
104;missionary;170;
105;nun;170;
106;prelate;164;
107;world_war;162;
108;archbishop;161;
109;revolutionary;159;
110;monarch;158;
111;literary;155;writer
112;commander;153;
113;daughter;151;
114;skipper;151;
115;governor;150;
116;cricket;149;
117;jumper;148;
118;coach;147;
119;javelin_thrower;147;
120;chamberlain;146;
121;mountaineer;145;
122;archer;143;
123;minister;142;politician
124;racing;142;racedriver
125;badminton;141;
126;actress;138;actor
127;regent;138;
128;dancer;137;
129;killer;129;
130;statesman;129;
131;duchess;128;
132;jesuit;128;
133;ballet;126;
134;wife_of;125;
135;bandleader;120;music
136;monk;118;
137;collector;115;
138;emperor;112;
139;olympic;111;
140;trumpet;111;
141;cartoonist;110;artist
142;publisher;110;
143;pole_vaulter;109;
144;illustrator;108;artist
145;clarinet;101;
146;spy;100;
147;admiral;99;
148;navy;99;
149;scenographer;99;
150;coxswain;96;
151;marshal;96;
152;essayist;90;writer
153;communist;88;
154;feminist;88;
155;statesperson;88;
156;child;84;
157;biographer;83;writer
158;lieutenant;83;
159;librettist;82;
160;saxophonist;80;music
161;engraver;78;
162;animator;77;
163;pastor;74;
164;secretary;73;
165;aviator;72;
166;nazi;72;
167;cleric;70;
168;costume_designer;70;
169;flying_ace;69;
170;consort;68;
171;editor;68;
172;hammer_thrower;68;
173;drama;67;
174;television;67;
175;;66;
176;anarchist;66;
177;climb;66;
178;naval;66;
179;lord;63;
180;radio;63;
181;archduke;62;
182;margrave;62;
183;trade_union;61;
184;chef;60;
185;merchant;60;
186;fighter;59;
187;cellist;58;music
188;church;57;
189;equestrian;57;
190;police;56;
191;sultan;56;
192;heir;55;
193;peer;54;
194;convict;53;
195;feudatory;53;
196;jockey;52;
197;murder;50;
198;royal_family;50;
199;friar;49;
200;philanthropist;49;
201;pope;49;
202;socialite;47;
203;surfer;47;
204;game;46;
205;landgrave;46;
206;throne;46;
207;tsar;45;
208;countess;43;
209;fashion_designer;43;designer
210;financier;43;
211;printer;43;
212;clergy;42;
213;preacher;42;
