ID;GDPpc
AL01;6637,902423
AL02;11417,19217
AL03;7036,176568
AT11;21108,5297
AT12;26551,60969
AT13;45137,73648
AT21;26817,12579
AT22;27879,19018
AT31;31198,14139
AT32;35977,43113
AT33;32658,47992
AT34;33189,51211
BE10;68237,63691
BE21;39030,86625
BE22;28144,70627
BE23;30003,31895
BE24;34517,0926
BE25;31463,65748
BE31;33587,78626
BE32;21639,5619
BE33;24427,48092
BE34;23099,90043
BE35;23099,90043
BG31;6239,628277
BG32;5708,596084
BG33;6770,660471
BG34;7301,692665
BG41;9558,579489
BG42;5310,321938
CH01;43012,55122
CH02;40748,73273
CH03;46260,63861
CH04;55217,48566
CH05;39075,47559
CH06;43406,25878
CH07;46162,21172
CY00;23498,17458
CZ01;35180,88284
CZ02;17789,57849
CZ03;16727,51411
CZ04;15001,65948
CZ05;16063,72386
CZ06;15665,44972
CZ07;14337,86923
CZ08;13806,83704
DE11;39296,38234
DE12;34649,85065
DE13;29737,80285
DE14;31330,89944
DE21;44872,22038
DE22;27348,15798
DE23;29074,01261
DE24;26684,36774
DE25;33189,51211
DE26;29339,52871
DE27;29206,77066
DE30;30268,83505
DE40;20179,22337
DE50;39694,65649
DE60;54430,79987
DE71;44208,43014
DE72;26949,88384
DE73;27613,67408
DE80;19382,67507
DE91;32260,20577
DE92;29737,80285
DE93;21374,0458
DE94;26153,33555
DEA1;33056,75407
DEA2;34517,0926
DEA3;25489,5453
DEA4;29339,52871
DEA5;26418,85164
DEB1;25622,30335
DEB2;23365,41653
DEB3;29339,52871
DEC0;27879,19018
DED2;20444,73946
DED4;18851,64288
DED5;21639,5619
DEE0;18984,40093
DEF0;26949,88384
DEG0;19117,15898
DK01;38367,076
DK02;22568,86824
DK03;28410,22237
DK04;29339,52871
DK05;27348,15798
EE00;10355,12778
EL30;27215,39993
EL41;15930,96581
EL42;25622,30335
EL43;19648,19117
EL51;16594,75606
EL52;17789,57849
EL53;18586,12678
EL54;16461,99801
EL61;16594,75606
EL62;21639,5619
EL63;16063,72386
EL64;22967,14238
EL65;17922,33654
ES11;18453,36874
ES12;20046,46532
ES13;22303,35214
ES21;29206,77066
ES22;30268,83505
ES23;26551,60969
ES24;24958,51311
ES30;31861,93163
ES41;21506,80385
ES42;18586,12678
ES43;15134,41752
ES51;28941,25456
ES52;22701,62629
ES53;30003,31895
ES61;17656,82044
ES62;19913,70727
ES63;21374,0458
ES64;21108,5297
ES70;23232,65848
FI19;25755,0614
FI1B;40623,96283
FI1C;27480,91603
FI1D;23099,90043
FI20;35180,88284
FR10;46598,07501
FRB0;25622,30335
FRC1;25224,02921
FRC2;24958,51311
FRD1;23630,93263
FRD2;26418,85164
FRE1;22436,11019
FRE2;23498,17458
FRF1;28675,73847
FRF2;26684,36774
FRF3;23365,41653
FRG0;25489,5453
FRH0;24560,23896
FRI1;25356,78726
FRI2;22834,38433
FRI3;23365,41653
FRJ1;21905,078
FRJ2;24560,23896
FRK1;23498,17458
FRK2;29074,01261
FRL0;26020,5775
FRM0;20975,77166
FRY1;16727,51411
FRY2;16461,99801
FRY3;13939,59509
FRY4;15665,44972
FRY5;4513,773648
HR02;9160,305344
HR03;11151,67607
HR05;18851,64288
HR06;9956,853634
HU11;25755,0614
HU12;10753,40192
HU21;12612,0146
HU22;15001,65948
HU23;9691,337537
HU31;8230,999004
HU32;8629,27315
HU33;9558,579489
IE04;22170,59409
IE05;31596,41553
IE06;38765,35015
ITC1;32392,96382
ITC2;39561,89844
ITC3;31596,41553
ITC4;39561,89844
ITF1;26153,33555
ITF2;23099,90043
ITF3;19913,70727
ITF4;19648,19117
ITF5;22436,11019
ITF6;17789,57849
ITG1;18984,40093
ITG2;20975,77166
ITH1;42880,84965
ITH2;40225,68868
ITH3;33986,0604
ITH4;32260,20577
ITH5;36773,97942
ITI1;31596,41553
ITI2;29472,28676
ITI3;28277,46432
ITI4;36906,73747
LT01;12877,5307
LT02;8098,240956
LU00;60670,42814
LV00;8894,789247
ME00;11018,91802
MK00;6770,660471
MT00;20179,22337
NL11;37437,76966
NL12;24161,96482
NL13;25489,5453
NL21;28277,46432
NL22;29472,28676
NL23;26551,60969
NL31;46199,80086
NL32;44473,94623
NL33;36641,22137
NL34;25622,30335
NL41;34384,33455
NL42;29074,01261
NO02;33986,0604
NO06;39561,89844
NO07;37039,49552
NO08;54430,79987
NO09;39429,14039
NO0A;49253,23598
PL21;10487,88583
PL22;12479,25655
PL41;12612,0146
PL42;11682,70826
PL43;10487,88583
PL51;12080,98241
PL52;9824,095586
PL61;10487,88583
PL62;9160,305344
PL63;11682,70826
PL71;10487,88583
PL72;9160,305344
PL81;8363,757053
PL82;8496,515101
PL84;8629,27315
PL91;25622,30335
PL92;9293,063392
PT11;16727,51411
PT15;21506,80385
PT16;17656,82044
PT17;30003,31895
PT18;19249,91703
PT20;16594,75606
PT30;18586,12678
RO11;5708,596084
RO12;6637,902423
RO21;4513,773648
RO22;5841,354132
RO31;5177,56389
RO32;14205,11118
RO41;5177,56389
RO42;6637,902423
RS11;23498,17458
RS12;13939,59509
RS21;9293,063392
RS22;8629,27315
