ID;GDPpc
PT11_1900;2033,5
PT15_1900;1473,25
PT16_1900;1805,25
PT17_1900;3091,75
PT18_1900;1992
PT11_1950;2759,75
PT15_1950;3258,5
PT16_1950;2826,25
PT17_1950;5253,5
PT18_1950;3291,75
BE10_1900;6184,88
BE21_1900;5417,717
BE22_1900;3788,239
BE23_1900;4787,335
BE24_1900;6184,88
BE25_1900;3817,974
BE31_1900;6184,88
BE32_1900;8087,92
BE33_1900;7130,453
BE34_1900;5613,968
BE35_1900;6535,753
BE10_1950;10499,436
BE21_1950;9306,714
BE22_1950;6973,506
BE23_1950;7408,806
BE24_1950;10499,436
BE25_1950;6642,678
BE31_1950;10499,436
BE32_1950;8993,298
BE33_1950;9620,13
BE34_1950;6729,738
BE35_1950;7643,868
UKC1_1850;3794,832
UKC2_1850;3794,832
UKD1_1850;4726,212
UKD3_1850;4726,212
UKD4_1850;4726,212
UKD6_1850;4726,212
UKD7_1850;4726,212
UKE1_1850;4531,272
UKE2_1850;4531,272
UKE3_1850;4531,272
UKE4_1850;4531,272
UKF1_1850;4054,752
UKF2_1850;4054,752
UKF3_1850;4054,752
UKG1_1850;4487,952
UKG2_1850;4487,952
UKG3_1850;4487,952
UKH1_1850;3885,804
UKH2_1850;3885,804
UKH3_1850;3885,804
UKI1_1850;6801,24
UKI2_1850;6801,24
UKI5_1850;6801,24
UKI6_1850;6801,24
UKI7_1850;6801,24
UKJ1_1850;5406,336
UKJ2_1850;5406,336
UKJ3_1850;5406,336
UKJ4_1850;5406,336
UKK1_1850;4440,3
UKK2_1850;4440,3
UKK3_1850;4440,3
UKK4_1850;4440,3
UKL1_1850;4102,404
UKL2_1850;4102,404
UKM5_1850;4228,032
UKM6_1850;4228,032
UKM7_1850;4228,032
UKM8_1850;4228,032
UKM9_1850;4228,032
UKN0_1850;2599,2
UKC1_1900;6728,284
UKC2_1900;6728,284
UKD1_1900;8231,896
UKD3_1900;8231,896
UKD4_1900;8231,896
UKD6_1900;8231,896
UKD7_1900;8231,896
UKE1_1900;7047,232
UKE2_1900;7047,232
UKE3_1900;7047,232
UKE4_1900;7047,232
UKF1_1900;7161,142
UKF2_1900;7161,142
UKF3_1900;7161,142
UKG1_1900;6940,916
UKG2_1900;6940,916
UKG3_1900;6940,916
UKH1_1900;6538,434
UKH2_1900;6538,434
UKH3_1900;6538,434
UKI1_1900;11208,744
UKI2_1900;11208,744
UKI5_1900;11208,744
UKI6_1900;11208,744
UKI7_1900;11208,744
UKJ1_1900;7890,166
UKJ2_1900;7890,166
UKJ3_1900;7890,166
UKJ4_1900;7890,166
UKK1_1900;7183,924
UKK2_1900;7183,924
UKK3_1900;7183,924
UKK4_1900;7183,924
UKL1_1900;6439,712
UKL2_1900;6439,712
UKM5_1900;7100,39
UKM6_1900;7100,39
UKM7_1900;7100,39
UKM8_1900;7100,39
UKM9_1900;7100,39
UKN0_1900;4769,032
UKC1_1950;9401,85
UKC2_1950;9401,85
UKD1_1950;10618,56
UKD3_1950;10618,56
UKD4_1950;10618,56
UKD6_1950;10618,56
UKD7_1950;10618,56
UKE1_1950;10574,316
UKE2_1950;10574,316
UKE3_1950;10574,316
UKE4_1950;10574,316
UKF1_1950;10762,353
UKF2_1950;10762,353
UKF3_1950;10762,353
UKG1_1950;11868,453
UKG2_1950;11868,453
UKG3_1950;11868,453
UKH1_1950;10729,17
UKH2_1950;10729,17
UKH3_1950;10729,17
UKI2_1950;12598,479
UKI1_1950;12598,479
UKI5_1950;12598,479
UKI6_1950;12598,479
UKI7_1950;12598,479
UKJ1_1950;12598,479
UKJ2_1950;12598,479
UKJ3_1950;12598,479
UKJ4_1950;12598,479
UKK1_1950;10187,181
UKK2_1950;10187,181
UKK3_1950;10187,181
UKK4_1950;10187,181
UKL1_1950;9523,521
UKL2_1950;9523,521
UKM5_1950;9999,144
UKM6_1950;9999,144
UKM7_1950;9999,144
UKM8_1950;9999,144
UKM9_1950;9999,144
UKN0_1950;7731,639
ES30_1550;1717,612
ES42_1550;1717,612
ES61_1550;1978,912
ES62_1550;1574,768
ES41_1550;1560,832
ES52_1550;1691,482
