"";"geo_unit";"year";"population"
"1";"AL";700;11
"2";"AT";700;3
"3";"BE";700;17
"4";"BG";700;34
"5";"CH";700;15
"6";"CY";700;8
"7";"CZ";700;0
"8";"DE";700;48
"9";"DK";700;1
"10";"EE";700;0
"11";"EL";700;86
"12";"ES";700;217
"13";"FI";700;0
"14";"FR";700;243
"15";"HR";700;7
"16";"HU";700;8
"17";"IE";700;2
"18";"IT";700;327
"19";"LT";700;0
"20";"LU";700;0
"21";"LV";700;0
"22";"ME";700;0
"23";"MK";700;8
"24";"NL";700;4
"25";"NO";700;0
"26";"PL";700;0
"27";"PT";700;60
"28";"RO";700;8
"29";"RS";700;5
"30";"SE";700;0
"31";"SI";700;2
"32";"SK";700;1
"33";"TR";700;7
"34";"UK";700;47
"35";"AL";800;11
"36";"AT";800;8
"37";"BE";800;33
"38";"BG";800;42
"39";"CH";800;18
"40";"CY";800;8
"41";"CZ";800;4
"42";"DE";800;100
"43";"DK";800;2
"44";"EE";800;0
"45";"EL";800;87
"46";"ES";800;418
"47";"FI";800;0
"48";"FR";800;328
"49";"HR";800;7
"50";"HU";800;11
"51";"IE";800;7
"52";"IT";800;426
"53";"LT";800;0
"54";"LU";800;0
"55";"LV";800;0
"56";"ME";800;0
"57";"MK";800;9
"58";"NL";800;13
"59";"NO";800;0
"60";"PL";800;2
"61";"PT";800;72
"62";"RO";800;9
"63";"RS";800;7
"64";"SE";800;0
"65";"SI";800;3
"66";"SK";800;5
"67";"TR";800;7
"68";"UK";800;67
"69";"AL";900;11
"70";"AT";900;14
"71";"BE";900;45
"72";"BG";900;78
"73";"CH";900;23
"74";"CY";900;8
"75";"CZ";900;7
"76";"DE";900;157
"77";"DK";900;3
"78";"EE";900;0
"79";"EL";900;88
"80";"ES";900;603
"81";"FI";900;0
"82";"FR";900;426
"83";"HR";900;8
"84";"HU";900;13
"85";"IE";900;10
"86";"IT";900;553
"87";"LT";900;0
"88";"LU";900;0
"89";"LV";900;0
"90";"ME";900;0
"91";"MK";900;10
"92";"NL";900;17
"93";"NO";900;0
"94";"PL";900;6
"95";"PT";900;79
"96";"RO";900;13
"97";"RS";900;9
"98";"SE";900;0
"99";"SI";900;4
"100";"SK";900;7
"101";"TR";900;7
"102";"UK";900;86
"103";"AL";1000;10
"104";"AT";1000;20
"105";"BE";1000;73
"106";"BG";1000;63
"107";"CH";1000;28
"108";"CY";1000;9
"109";"CZ";1000;20
"110";"DE";1000;247
"111";"DK";1000;7
"112";"EE";1000;1
"113";"EL";1000;87
"114";"ES";1000;777
"115";"FI";1000;0
"116";"FR";1000;558
"117";"HR";1000;10
"118";"HU";1000;22
"119";"IE";1000;15
"120";"IT";1000;751
"121";"LT";1000;1
"122";"LU";1000;1
"123";"LV";1000;0
"124";"ME";1000;0
"125";"MK";1000;12
"126";"NL";1000;32
"127";"NO";1000;2
"128";"PL";1000;27
"129";"PT";1000;88
"130";"RO";1000;18
"131";"RS";1000;12
"132";"SE";1000;2
"133";"SI";1000;5
"134";"SK";1000;9
"135";"TR";1000;7
"136";"UK";1000;124
"137";"AL";1100;16
"138";"AT";1100;28
"139";"BE";1100;110
"140";"BG";1100;67
"141";"CH";1100;36
"142";"CY";1100;13
"143";"CZ";1100;27
"144";"DE";1100;389
"145";"DK";1100;13
"146";"EE";1100;2
"147";"EL";1100;90
"148";"ES";1100;880
"149";"FI";1100;0
"150";"FR";1100;716
"151";"HR";1100;11
"152";"HU";1100;31
"153";"IE";1100;22
"154";"IT";1100;946
"155";"LT";1100;1
"156";"LU";1100;1
"157";"LV";1100;0
"158";"ME";1100;0
"159";"MK";1100;14
"160";"NL";1100;46
"161";"NO";1100;5
"162";"PL";1100;38
"163";"PT";1100;101
"164";"RO";1100;24
"165";"RS";1100;15
"166";"SE";1100;3
"167";"SI";1100;6
"168";"SK";1100;13
"169";"TR";1100;7
"170";"UK";1100;194
"171";"AL";1200;17
"172";"AT";1200;43
"173";"BE";1200;183
"174";"BG";1200;80
"175";"CH";1200;50
"176";"CY";1200;18
"177";"CZ";1200;42
"178";"DE";1200;621
"179";"DK";1200;16
"180";"EE";1200;3
"181";"EL";1200;94
"182";"ES";1200;1039
"183";"FI";1200;0
"184";"FR";1200;985
"185";"HR";1200;16
"186";"HU";1200;42
"187";"IE";1200;40
"188";"IT";1200;1327
"189";"LT";1200;3
"190";"LU";1200;2
"191";"LV";1200;0
"192";"ME";1200;0
"193";"MK";1200;16
"194";"NL";1200;82
"195";"NO";1200;7
"196";"PL";1200;79
"197";"PT";1200;124
"198";"RO";1200;44
"199";"RS";1200;23
"200";"SE";1200;9
"201";"SI";1200;8
"202";"SK";1200;20
"203";"TR";1200;7
"204";"UK";1200;280
"205";"AL";1300;19
"206";"AT";1300;59
"207";"BE";1300;346
"208";"BG";1300;97
"209";"CH";1300;58
"210";"CY";1300;23
"211";"CZ";1300;68
"212";"DE";1300;856
"213";"DK";1300;21
"214";"EE";1300;5
"215";"EL";1300;132
"216";"ES";1300;1287
"217";"FI";1300;1
"218";"FR";1300;1344
"219";"HR";1300;17
"220";"HU";1300;64
"221";"IE";1300;50
"222";"IT";1300;1932
"223";"LT";1300;6
"224";"LU";1300;2
"225";"LV";1300;3
"226";"ME";1300;1
"227";"MK";1300;21
"228";"NL";1300;137
"229";"NO";1300;11
"230";"PL";1300;132
"231";"PT";1300;176
"232";"RO";1300;78
"233";"RS";1300;31
"234";"SE";1300;16
"235";"SI";1300;10
"236";"SK";1300;37
"237";"TR";1300;7
"238";"UK";1300;380
"239";"AL";1400;15
"240";"AT";1400;54
"241";"BE";1400;349
"242";"BG";1400;57
"243";"CH";1400;56
"244";"CY";1400;26
"245";"CZ";1400;84
"246";"DE";1400;701
"247";"DK";1400;15
"248";"EE";1400;5
"249";"EL";1400;114
"250";"ES";1400;995
"251";"FI";1400;4
"252";"FR";1400;950
"253";"HR";1400;11
"254";"HU";1400;67
"255";"IE";1400;42
"256";"IT";1400;1426
"257";"LT";1400;12
"258";"LU";1400;1
"259";"LV";1400;3
"260";"ME";1400;1
"261";"MK";1400;14
"262";"NL";1400;158
"263";"NO";1400;7
"264";"PL";1400;122
"265";"PT";1400;163
"266";"RO";1400;92
"267";"RS";1400;44
"268";"SE";1400;20
"269";"SI";1400;7
"270";"SK";1400;33
"271";"TR";1400;17
"272";"UK";1400;268
"273";"AL";1500;24
"274";"AT";1500;77
"275";"BE";1500;426
"276";"BG";1500;80
"277";"CH";1500;75
"278";"CY";1500;21
"279";"CZ";1500;104
"280";"DE";1500;1045
"281";"DK";1500;22
"282";"EE";1500;8
"283";"EL";1500;95
"284";"ES";1500;1367
"285";"FI";1500;6
"286";"FR";1500;1454
"287";"HR";1500;17
"288";"HU";1500;86
"289";"IE";1500;47
"290";"IT";1500;2151
"291";"LT";1500;30
"292";"LU";1500;2
"293";"LV";1500;4
"294";"ME";1500;1
"295";"MK";1500;19
"296";"NL";1500;298
"297";"NO";1500;12
"298";"PL";1500;238
"299";"PT";1500;241
"300";"RO";1500;92
"301";"RS";1500;51
"302";"SE";1500;27
"303";"SI";1500;12
"304";"SK";1500;40
"305";"TR";1500;131
"306";"UK";1500;376
"307";"AL";1550;31
"308";"AT";1550;90
"309";"BE";1550;422
"310";"BG";1550;91
"311";"CH";1550;83
"312";"CY";1550;20
"313";"CZ";1550;115
"314";"DE";1550;1132
"315";"DK";1550;35
"316";"EE";1550;10
"317";"EL";1550;124
"318";"ES";1550;1586
"319";"FI";1550;8
"320";"FR";1550;1709
"321";"HR";1550;24
"322";"HU";1550;96
"323";"IE";1550;49
"324";"IT";1550;2531
"325";"LT";1550;40
"326";"LU";1550;2
"327";"LV";1550;4
"328";"ME";1550;2
"329";"MK";1550;25
"330";"NL";1550;342
"331";"NO";1550;12
"332";"PL";1550;294
"333";"PT";1550;286
"334";"RO";1550;101
"335";"RS";1550;70
"336";"SE";1550;29
"337";"SI";1550;14
"338";"SK";1550;47
"339";"TR";1550;142
"340";"UK";1550;468
"341";"AL";1600;36
"342";"AT";1600;118
"343";"BE";1600;434
"344";"BG";1600;107
"345";"CH";1600;94
"346";"CY";1600;18
"347";"CZ";1600;142
"348";"DE";1600;1294
"349";"DK";1600;72
"350";"EE";1600;14
"351";"EL";1600;174
"352";"ES";1600;2007
"353";"FI";1600;12
"354";"FR";1600;2168
"355";"HR";1600;26
"356";"HU";1600;105
"357";"IE";1600;55
"358";"IT";1600;3068
"359";"LT";1600;53
"360";"LU";1600;3
"361";"LV";1600;5
"362";"ME";1600;2
"363";"MK";1600;30
"364";"NL";1600;530
"365";"NO";1600;17
"366";"PL";1600;387
"367";"PT";1600;356
"368";"RO";1600;123
"369";"RS";1600;92
"370";"SE";1600;35
"371";"SI";1600;19
"372";"SK";1600;54
"373";"TR";1600;156
"374";"UK";1600;644
"375";"AL";1650;50
"376";"AT";1650;147
"377";"BE";1650;496
"378";"BG";1650;127
"379";"CH";1650;106
"380";"CY";1650;20
"381";"CZ";1650;137
"382";"DE";1650;1291
"383";"DK";1650;78
"384";"EE";1650;16
"385";"EL";1650;164
"386";"ES";1650;1732
"387";"FI";1650;13
"388";"FR";1650;2450
"389";"HR";1650;28
"390";"HU";1650;111
"391";"IE";1650;82
"392";"IT";1650;3062
"393";"LT";1650;52
"394";"LU";1650;4
"395";"LV";1650;6
"396";"ME";1650;2
"397";"MK";1650;30
"398";"NL";1650;673
"399";"NO";1650;22
"400";"PL";1650;360
"401";"PT";1650;399
"402";"RO";1650;143
"403";"RS";1650;65
"404";"SE";1650;50
"405";"SI";1650;23
"406";"SK";1650;53
"407";"TR";1650;128
"408";"UK";1650;846
"409";"AL";1700;74
"410";"AT";1700;203
"411";"BE";1700;587
"412";"BG";1700;159
"413";"CH";1700;117
"414";"CY";1700;20
"415";"CZ";1700;145
"416";"DE";1700;1413
"417";"DK";1700;92
"418";"EE";1700;18
"419";"EL";1700;164
"420";"ES";1700;1686
"421";"FI";1700;15
"422";"FR";1700;2956
"423";"HR";1700;33
"424";"HU";1700;124
"425";"IE";1700;160
"426";"IT";1700;3192
"427";"LT";1700;49
"428";"LU";1700;6
"429";"LV";1700;9
"430";"ME";1700;3
"431";"MK";1700;31
"432";"NL";1700;744
"433";"NO";1700;31
"434";"PL";1700;373
"435";"PT";1700;462
"436";"RO";1700;183
"437";"RS";1700;60
"438";"SE";1700;84
"439";"SI";1700;29
"440";"SK";1700;53
"441";"TR";1700;106
"442";"UK";1700;1173
"443";"AL";1750;76
"444";"AT";1750;275
"445";"BE";1750;570
"446";"BG";1750;201
"447";"CH";1750;140
"448";"CY";1750;22
"449";"CZ";1750;161
"450";"DE";1750;1816
"451";"DK";1750;114
"452";"EE";1750;19
"453";"EL";1750;182
"454";"ES";1750;2161
"455";"FI";1750;18
"456";"FR";1750;3419
"457";"HR";1750;43
"458";"HU";1750;310
"459";"IE";1750;293
"460";"IT";1750;3683
"461";"LT";1750;34
"462";"LU";1750;7
"463";"LV";1750;12
"464";"ME";1750;3
"465";"MK";1750;35
"466";"NL";1750;736
"467";"NO";1750;49
"468";"PL";1750;410
"469";"PT";1750;520
"470";"RO";1750;253
"471";"RS";1750;91
"472";"SE";1750;117
"473";"SI";1750;29
"474";"SK";1750;107
"475";"TR";1750;108
"476";"UK";1750;1597
"477";"AL";1800;100
"478";"AT";1800;379
"479";"BE";1800;698
"480";"BG";1800;259
"481";"CH";1800;150
"482";"CY";1800;22
"483";"CZ";1800;196
"484";"DE";1800;2347
"485";"DK";1800;145
"486";"EE";1800;22
"487";"EL";1800;232
"488";"ES";1800;2644
"489";"FI";1800;29
"490";"FR";1800;3925
"491";"HR";1800;53
"492";"HU";1800;459
"493";"IE";1800;441
"494";"IT";1800;4319
"495";"LT";1800;48
"496";"LU";1800;10
"497";"LV";1800;16
"498";"ME";1800;4
"499";"MK";1800;42
"500";"NL";1800;783
"501";"NO";1800;59
"502";"PL";1800;522
"503";"PT";1800;868
"504";"RO";1800;304
"505";"RS";1800;123
"506";"SE";1800;137
